k;Nk;Pk;logk;logPk;empty;target_source;count
;;;;;;221;13
;;;;;;221;13
;;;;;;222;6
;;;;;;222;6
;;;;;;222;6
;;;;;;223;5
;;;;;;223;5
;;;;;;224;12
;;;;;;224;12
;;;;;;224;12
;;;;;;224;12
;;;;;;225;11
;;;;;;225;11
;;;;;;225;11
;;;;;;225;11
;;;;;;225;11
;;;;;;225;11
;;;;;;225;11
;;;;;;225;11
;;;;;;226;14
;;;;;;226;14
;;;;;;226;14
;;;;;;226;14
;;;;;;226;14
;;;;;;227;18
;;;;;;227;18
;;;;;;227;18
;;;;;;227;18
;;;;;;227;18
;;;;;;227;18
;;;;;;227;18
;;;;;;227;18
;;;;;;227;18
;;;;;;228;15
;;;;;;228;15
;;;;;;228;15
;;;;;;228;15
;;;;;;228;15
;;;;;;228;15
;;;;;;228;15
;;;;;;229;6
;;;;;;229;6
;;;;;;229;6
;;;;;;230;6
;;;;;;230;6
;;;;;;231;6
;;;;;;231;6
;;;;;;231;6
;;;;;;231;6
;;;;;;231;6
;;;;;;232;8
;;;;;;232;8
;;;;;;232;8
;;;;;;233;10
;;;;;;233;10
;;;;;;233;10
;;;;;;233;10
;;;;;;234;7
;;;;;;234;7
;;;;;;234;7
;;;;;;234;7
;;;;;;234;7
;;;;;;235;13
;;;;;;235;13
;;;;;;235;13
;;;;;;235;13
;;;;;;236;14
;;;;;;236;14
;;;;;;236;14
;;;;;;236;14
;;;;;;236;14
;;;;;;236;14
;;;;;;236;14
;;;;;;236;14
;;;;;;236;14
;;;;;;237;8
;;;;;;237;8
;;;;;;237;8
;;;;;;238;6
;;;;;;238;6
;;;;;;238;6
;;;;;;238;6
;;;;;;239;16
;;;;;;239;16
;;;;;;239;16
;;;;;;239;16
;;;;;;239;16
;;;;;;239;16
;;;;;;239;16
;;;;;;239;16
;;;;;;240;8
;;;;;;240;8
;;;;;;240;8
;;;;;;240;8
;;;;;;241;17
;;;;;;241;17
;;;;;;241;17
;;;;;;241;17
;;;;;;241;17
;;;;;;241;17
;;;;;;241;17
;;;;;;242;12
;;;;;;242;12
;;;;;;242;12
;;;;;;243;8
;;;;;;243;8
;;;;;;243;8
;;;;;;243;8
;;;;;;244;10
;;;;;;244;10
;;;;;;244;10
;;;;;;244;10
;;;;;;244;10
;;;;;;245;16
;;;;;;245;16
;;;;;;245;16
;;;;;;245;16
;;;;;;245;16
;;;;;;246;9
;;;;;;246;9
;;;;;;246;9
;;;;;;246;9
;;;;;;246;9
;;;;;;247;11
